Speaker_ID,Speaker_Type,Speaker_gender,Speaker_L1,Filename,Recording_description,intelligibility,duration_sec
001,ITA,Male,Hindi / Bengali,001_Jour_03.flac,ITA Video Journal,83.1,372.79
001,ITA,Male,Hindi / Bengali,001_Prac_02.flac,ITA Microteaching Practice,89.53,585.29
001,ITA,Male,Hindi / Bengali,001_Refl_01.flac,ITA Video Journal,90.56,259.28
001,ITA,Male,Hindi / Bengali,001_Refl_Inte.flac,ITA Video Journal,94.53,179.9
002,ITA,Male,Chinese,002_Refl_02.flac,ITA Video Journal,,128.9
002,ITA,Male,Chinese,002_Refl_03.flac,ITA Video Journal,90,216.9
003,ITA,Male,Spanish,003_Jour_01.flac,ITA Video Journal,94.44,431.6
003,ITA,Male,Spanish,003_Jour_02.flac,ITA Video Journal,,331.23
003,ITA,Male,Spanish,003_Jour_03.flac,ITA Video Journal,94.84,387.32
003,ITA,Male,Spanish,003_Refl_01.flac,ITA Video Journal,91.5,236.99
003,ITA,Male,Spanish,003_Refl_02.flac,ITA Video Journal,95.27,265.9
003,ITA,Male,Spanish,003_Refl_Inte.flac,ITA Video Journal,98,163.86
008,ITA,Female,Chinese,008_Prac_02.flac,ITA Microteaching Practice,98.87,160.99
008,ITA,Female,Chinese,008_Prac_03.flac,ITA Microteaching Practice,,463.22
009,ITA,Male,Spanish,009_Jour_02.flac,ITA Video Journal,,603.77
009,ITA,Male,Spanish,009_Jour_03.flac,ITA Video Journal,98,417.4
009,ITA,Male,Spanish,009_Refl_Inte.flac,ITA Video Journal,97.03,298.2
010,ITA,Male,Korean,010_Jour_01.flac,ITA Video Journal,98.66,185.75
010,ITA,Male,Korean,010_Jour_02.flac,ITA Video Journal,,268.19
010,ITA,Male,Korean,010_Refl_01.flac,ITA Video Journal,,166.48
010,ITA,Male,Korean,010_Refl_02.flac,ITA Video Journal,,159.73
011,ITA,Male,Chinese,011_Jour_01.flac,ITA Video Journal,93.28,459.15
011,ITA,Male,Chinese,011_Jour_02.flac,ITA Video Journal,,378.59
011,ITA,Male,Chinese,011_Jour_03.flac,ITA Video Journal,94.58,367.42
012,ITA,Female,Chinese,012_Jour_01.flac,ITA Video Journal,98.5,357.35
012,ITA,Female,Chinese,012_Jour_02.flac,ITA Video Journal,,257.02
012,ITA,Female,Chinese,012_Jour_03.flac,ITA Video Journal,96.84,162.17
014,ITA,Male,Sinhala,014_Jour_02.flac,ITA Video Journal,,593.79
014,ITA,Male,Sinhala,014_Jour_03.flac,ITA Video Journal,98.5,513.1
014,ITA,Male,Sinhala,014_Prac_01.flac,ITA Microteaching Practice,90.94,479.85
014,ITA,Male,Sinhala,014_Refl_02.flac,ITA Video Journal,,302.03
015,ITA,Male,Persian,015_Jour_01.flac,ITA Video Journal,98.15,455.54
015,ITA,Male,Persian,015_Jour_02.flac,ITA Video Journal,,455.58
015,ITA,Male,Persian,015_Prac_01.flac,ITA Microteaching Practice,92.17,486.12
015,ITA,Male,Persian,015_Refl_01.flac,ITA Video Journal,,323.47
015,ITA,Male,Persian,015_Refl_02.flac,ITA Video Journal,,390.96
101,HIL2,Female,Russian / Ukrainian,101_task3.flac,Vocabulary Explanation,,318.28
102,HIL2,Female,Russian,102_task3.flac,Vocabulary Explanation,,301.52
102,HIL2,Female,Russian,102_task5.flac,Explaining a process,,
105,HIL2,Female,Portuguese,105_task3.flac,Vocabulary Explanation,,256.45
107,HIL2,Female,Japanese,107_task3.flac,Vocabulary Explanation,,230.45
109,HIL2,Female,Spanish,109_task3.flac,Vocabulary Explanation,,327.04
110,HIL2,Male,Spanish,110_task3.flac,Vocabulary Explanation,,318.32
112,HIL2,Male,Chinese,112_task3.flac,Vocabulary Explanation,,385.65
115,HIL2,Female,Chinese,115_task3.flac,Vocabulary Explanation,,257.64
115,HIL2,Female,Chinese,115_task7.flac,Describing a Project,,
115,HIL2,Female,Chinese,115_task8.flac,Predictions about the Future,,
116,HIL2,Female,Korean,116_task3.flac,Vocabulary Explanation,,185.59
117,HIL2,Female,Spanish,117_task3.flac,Vocabulary Explanation,,215.01
119,HIL2,Male,Spanish,119_task3.flac,Vocabulary Explanation,,381.33
121,HIL2,Male,Chinese,121_task3.flac,Vocabulary Explanation,,381.28
124,HIL2,Female,Chinese,124_task3.flac,Vocabulary Explanation,,359.16
126,HIL2,Female,Portuguese,126_task3.flac,Vocabulary Explanation,,297.8
127,HIL2,Male,Spanish,127_task3.flac,Vocabulary Explanation,,260.69
127,HIL2,Male,Spanish,127_task5.flac,Explaining a process,,
128,HIL2,Male,Spanish,128_task3.flac,Vocabulary Explanation,,266.76
129,HIL2,Female,Spanish,129_task3.flac,Vocabulary Explanation,,146.04
130,HIL2,Female,Chinese,130_task3.flac,Vocabulary Explanation,,295.16
130,HIL2,Female,Chinese,130_task5.flac,Explaining a process,,
201,ITA,Female,Chinese,201_Pres_02.flac,ITA Microteaching (in class),95.7,471.25
217,IEP,Female,Arabic,217_Pres_02.flac,Classroom task on personal experience,100,105.84
217,IEP,Female,Arabic,217_Pres_03.flac,Classroom task on preferences,98,120.96
223,IEP,Female,Arabic,223_Prac_03.flac,Classroom task on preferences (practice),95.2,135.15
223,IEP,Female,Arabic,223_Pres_02.flac,Classroom task on personal experience,97.3,117.42
223,IEP,Female,Arabic,223_Pres_03.flac,Classroom task on preferences (final),94,102.2
224,IEP,Male,Arabic,224_Prac_03.flac,Classroom task on preferences,76.3,117.32
224,IEP,Male,Arabic,224_Pres_02.flac,Classroom task on personal experience,95.2,116.88
226,IEP,Male,Korean,226_Pres_02.flac,Classroom task on personal experience,98.1,58.19
226,IEP,Male,Korean,226_Pres_03.flac,Classroom task on preferences,93.9,53.84
229,IEP,Female,Arabic,229_Prac_03.flac,Classroom task on preferences,95.4,109.49
230,ITA,Male,Multiple,230_Pres_01.flac,ITA Microteaching (in class),71.1,357.65
231,ITA,Male,Persian,231_Prac_01.flac,ITA Microteaching Practice,96.9,959.93
231,ITA,Male,Persian,231_Prac_02.flac,ITA Microteaching Practice,91.6,556.24
232,ITA,Male,Multiple,232_Prac_02.flac,ITA Microteaching Practice,95.8,436.49
235,IEP,Female,Turkish,235_Prac_02.flac,Classroom task on interview report,84.1,215.33
236,IEP,Male,Arabic,236_Prac_01.flac,Classroom task on describing a picture,97.4,38.4
236,IEP,Male,Arabic,236_Pres_02.flac,Classroom task on describing lifestyle,92.25,178.97
238,IEP,Female,Chinese,238_Prac_01.flac,Classroom presentation on education systems practice,100,591.29
239,IEP,Male,Chinese,239_Prac_01.flac,Classroom presentation on education systems practice,93.7,319.36
