meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
ES2003c,B,10.128,13.27,3.142,ES2003c.B.dialog-act.vkaraisk.1,,,,,,,,,False," Alright, yeah.",2,task,Assess
ES2003c,B,13.27,14.5,1.23,ES2003c.B.dialog-act.vkaraisk.2,,,,,,,,,False, crack on.,2,task,Suggest
ES2003c,B,14.5,17.25,2.75,ES2003c.B.dialog-act.vkaraisk.3,,,,,,,,,False, Okay so,2,minor,Stall
ES2003c,B,17.25,19.96,2.71,ES2003c.B.dialog-act.vkaraisk.4,B,,0.0,,True,False,0.0,[],False, we'll start off with a quick overview of the minutes.,10,task,Inform
ES2003c,B,19.96,27.18,7.22,ES2003c.B.dialog-act.vkaraisk.5,B,B,0.0,0.0,False,False,0.0,[],False," I think to sum up the last meeting, would be to say um the requirements that we've um set out.",20,other,Offer
ES2003c,B,27.18,48.01,20.83,ES2003c.B.dialog-act.vkaraisk.6,B,B,0.0,0.0,False,False,0.0,[],False," Those are we were going to go for what seemed to be a fairly minimal design based on uh a small joystick, L_C_D_ and a couple of other buttons for navigation um with power being I suppose one of the main single purpose buttons.",44,task,Inform
ES2003c,B,48.01,55.75,7.74,ES2003c.B.dialog-act.vkaraisk.7,B,B,0.0,0.0,False,False,0.0,[],False," Um we were also going to use novelty of being able to locate the remote control again via a small transmitter with any luck,",24,task,Inform
ES2003c,B,55.75,57.21,1.46,ES2003c.B.dialog-act.vkaraisk.8,B,B,0.0,0.0,False,False,0.0,[],False, the idea to try and separate us,7,task,Inform
ES2003c,B,57.21,68.33,11.12,ES2003c.B.dialog-act.vkaraisk.9,B,B,0.0,0.0,False,False,0.0,[],False, and also because of the minimal design um looks like we'll be able to be fairly adventurous in the actual physical shape of our remote control with any luck.,29,task,Inform
ES2003c,B,68.33,72.06,3.73,ES2003c.B.dialog-act.vkaraisk.10,B,B,0.44,0.0,False,False,0.0,[],False, Um that pretty much sums up the last one.,9,task,Inform
ES2003c,B,72.06,72.5,0.44,ES2003c.B.dialog-act.vkaraisk.11,,,,,,,,,False, So,1,minor,Stall
ES2003c,B,72.5,74.09,1.59,ES2003c.B.dialog-act.vkaraisk.12,B,B,0.0,0.44,False,False,0.0,[],False," we'll just crack on,",4,task,Suggest
ES2003c,B,74.09,79.76,5.67,ES2003c.B.dialog-act.vkaraisk.13,B,B,4.44,0.0,False,False,0.0,[],False, um like to maybe start with the Industrial Designer if it's possible.,12,task,Suggest
ES2003c,D,79.2,81.28,2.08,ES2003c.D.dialog-act.vkaraisk.1,,,,,,,,,False, Uh uh okay.,3,task,Assess
ES2003c,B,79.76,84.2,4.44,ES2003c.B.dialog-act.vkaraisk.14,,,,,,,,,False, Um uh the con today is the concep today.,9,minor,Fragment
ES2003c,D,81.28,82.995,1.715,ES2003c.D.dialog-act.vkaraisk.2,,,,,,,,,False, I'll just,2,minor,Fragment
ES2003c,B,84.2,87.78,3.58,ES2003c.B.dialog-act.vkaraisk.15,B,B,8.09,4.44,False,False,0.0,[],False, This uh meeting is the conceptual design phase,8,task,Inform
ES2003c,B,87.78,89.584,1.804,ES2003c.B.dialog-act.vkaraisk.16,,,,,,,,,False, and is um,3,minor,Fragment
ES2003c,B,90.93,95.87,4.94,ES2003c.B.dialog-act.vkaraisk.17,,,,,,,,,False, Sorry about this..,3,other,Be-Positive
ES2003c,B,95.87,102.02,6.15,ES2003c.B.dialog-act.vkaraisk.18,B,B,0.0,8.09,False,False,0.0,[],False," And is to cover things like um what the parts might be made of, um,",15,elicit,Elicit-Offer-Or-Suggestion
ES2003c,B,102.02,104.58,2.56,ES2003c.B.dialog-act.vkaraisk.19,B,B,0.0,0.0,False,False,0.0,[],False," can we uh outsource these from elsewhere,",7,elicit,Elicit-Offer-Or-Suggestion
ES2003c,B,104.58,107.84,3.26,ES2003c.B.dialog-act.vkaraisk.20,D,B,0.128,0.0,False,False,0.0,[],False, um will we have to construct any items ourselves?,9,elicit,Elicit-Offer-Or-Suggestion
ES2003c,D,107.968,109.93,1.962,ES2003c.D.dialog-act.vkaraisk.3,D,B,0.0,0.128,True,False,0.0,[],True, Uh I have a presentation,5,task,Inform
ES2003c,D,109.93,113.27,3.34,ES2003c.D.dialog-act.vkaraisk.4,B,D,-1.06,0.0,False,True,1.06,['ES2003c.B.dialog-act.vkaraisk.23'],False, I just saved it in the uh the folder.,9,task,Inform
ES2003c,B,111.35,112.0,0.65,ES2003c.B.dialog-act.vkaraisk.21,,,,,,,,,False," Yeah, okay",2,task,Assess
ES2003c,B,112.0,112.21,0.21,ES2003c.B.dialog-act.vkaraisk.22,,,,,,,,,False, well,1,minor,Stall
ES2003c,B,112.21,117.4,5.19,ES2003c.B.dialog-act.vkaraisk.23,B,D,7.49,-1.06,True,False,0.0,[],False, I'll just uh I'll load it up then. Um.,9,other,Offer
ES2003c,B,118.79,120.62,1.83,ES2003c.B.dialog-act.vkaraisk.24,,,,,,,,,False, Which one do y,4,minor,Fragment
ES2003c,D,120.33,121.38,1.05,ES2003c.D.dialog-act.vkaraisk.5,,,,,,,,,False, Uh.,1,minor,Stall
ES2003c,B,121.8,122.23,0.43,ES2003c.B.dialog-act.vkaraisk.25,,,,,,,,,False," Oh,",1,minor,Stall
ES2003c,B,122.23,123.78,1.55,ES2003c.B.dialog-act.vkaraisk.26,,,,,,,,,False, interface concept?,2,elicit,Elicit-Inform
ES2003c,A,123.29,124.0,0.71,ES2003c.A.dialog-act.vkaraisk.1,,,,,,,,,False," Yeah, that's me.",3,task,Inform
ES2003c,B,123.78,124.89,1.11,ES2003c.B.dialog-act.vkaraisk.27,,,,,,,,,False, That's you.,2,other,Comment-About-Understanding
ES2003c,B,124.89,125.66,0.77,ES2003c.B.dialog-act.vkaraisk.28,D,B,20.65,7.49,False,False,0.0,[],False," We've got trend watching,",4,task,Inform
ES2003c,B,125.66,126.48,0.82,ES2003c.B.dialog-act.vkaraisk.29,,,,,,,,,False, that's you.,2,task,Inform
ES2003c,D,125.66,126.589,0.929,ES2003c.D.dialog-act.vkaraisk.6,,,,,,,,,False, It's uh,2,minor,Fragment
ES2003c,D,127.54,128.33,0.79,ES2003c.D.dialog-act.vkaraisk.7,,,,,,,,,False, Components design.,2,task,Inform
ES2003c,B,129.12,129.84,0.72,ES2003c.B.dialog-act.vkaraisk.30,,,,,,,,,False, Components design.,2,other,Comment-About-Understanding
ES2003c,D,130.48,132.0,1.52,ES2003c.D.dialog-act.vkaraisk.8,,,,,,,,,False,.,0,minor,Fragment
ES2003c,B,139.27,140.43,1.16,ES2003c.B.dialog-act.vkaraisk.31,,,,,,,,,False, Okay.,1,task,Assess
ES2003c,D,140.89,142.14,1.25,ES2003c.D.dialog-act.vkaraisk.9,,,,,,,,,False, Alright.,1,task,Assess
ES2003c,D,142.14,144.79,2.65,ES2003c.D.dialog-act.vkaraisk.10,,,,,,,,,False, So Uh.,2,minor,Stall
ES2003c,D,146.31,151.66,5.35,ES2003c.D.dialog-act.vkaraisk.11,D,B,0.0,20.65,True,False,0.0,[],True," The case uh le that's what I wrote first of all, could be plastic our plastic.",16,task,Inform
ES2003c,D,151.66,159.26,7.6,ES2003c.D.dialog-act.vkaraisk.12,D,D,1.06,0.0,False,False,0.0,[],False," Uh but later on we found out that um it can be rubber as well, or titanium or even wood.",20,task,Inform
ES2003c,D,159.26,160.32,1.06,ES2003c.D.dialog-act.vkaraisk.13,,,,,,,,,False, So uh,2,minor,Stall
ES2003c,D,160.32,161.78,1.46,ES2003c.D.dialog-act.vkaraisk.14,D,D,3.38,1.06,False,False,0.0,[],False, we decide what it's gonna be.,6,task,Suggest
ES2003c,D,161.78,163.63,1.85,ES2003c.D.dialog-act.vkaraisk.15,,,,,,,,,False, Probably plastic. Uh,3,task,Suggest
ES2003c,D,165.16,167.63,2.47,ES2003c.D.dialog-act.vkaraisk.16,D,D,0.0,3.38,False,False,0.0,[],False, we need the infra-red transmitter.,5,task,Inform
ES2003c,D,167.63,168.75,1.12,ES2003c.D.dialog-act.vkaraisk.17,D,D,0.0,0.0,False,False,0.0,[],False, Get that off the shelf.,5,task,Suggest
ES2003c,D,168.75,178.42,9.67,ES2003c.D.dialog-act.vkaraisk.18,D,D,0.828,0.0,False,False,0.0,[],False," Uh joystick we'll probably if we're gonna use it, um could be plastic w or rubber even as well. Um",20,task,Inform
ES2003c,D,179.248,182.067,2.819,ES2003c.D.dialog-act.vkaraisk.19,D,D,0.829,0.828,False,False,0.0,[],False, if you go on to the next slide. Uh,9,task,Suggest
ES2003c,D,182.896,186.5,3.604,ES2003c.D.dialog-act.vkaraisk.20,D,D,0.0,0.829,False,False,0.0,[],False," If you go on to f uh findings,",8,task,Suggest
ES2003c,D,186.5,187.98,1.48,ES2003c.D.dialog-act.vkaraisk.21,D,D,2.82,0.0,False,False,0.0,[],False, it's like two or three slides down.,7,task,Inform
ES2003c,D,189.16,190.8,1.64,ES2003c.D.dialog-act.vkaraisk.22,,,,,,,,,False," Right. So,",2,minor,Stall
ES2003c,B,189.21,189.8,0.59,ES2003c.B.dialog-act.vkaraisk.32,,,,,,,,,False, Okay.,1,task,Assess
