meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
IS1006b,A,25.59,26.04,0.45,IS1006b.A.dialog-act.vkaraisk.1,,,,,,,,,False, So,1,minor,Stall
IS1006b,D,27.19,28.208,1.018,IS1006b.D.dialog-act.vkaraisk.1,,,,,,,,,False, So,1,minor,Fragment
IS1006b,A,27.84,32.46,4.62,IS1006b.A.dialog-act.vkaraisk.2,A,,5.0,,True,False,0.0,[],False, I hope you're ready for this uh functional design meeting.,10,elicit,Elicit-Inform
IS1006b,D,32.98,35.131,2.151,IS1006b.D.dialog-act.vkaraisk.2,,,,,,,,,False, Of course.,2,task,Inform
IS1006b,A,35.75,37.46,1.71,IS1006b.A.dialog-act.vkaraisk.3,,,,,,,,,False, Um so,2,minor,Stall
IS1006b,A,37.46,40.47,3.01,IS1006b.A.dialog-act.vkaraisk.4,A,A,0.0,5.0,False,False,0.0,[],False, I will take the minutes,5,task,Inform
IS1006b,A,40.47,43.24,2.77,IS1006b.A.dialog-act.vkaraisk.5,A,A,1.13,0.0,False,False,0.0,[],False, you mm you three are going to do presentation.,9,task,Inform
IS1006b,A,44.37,51.83,7.46,IS1006b.A.dialog-act.vkaraisk.6,A,A,1.16,1.13,False,False,0.0,[],False, Um uh we want to know to at the end to know the new project's requirement,16,task,Inform
IS1006b,A,51.83,52.99,1.16,IS1006b.A.dialog-act.vkaraisk.7,,,,,,,,,False, so,1,minor,Stall
IS1006b,A,52.99,58.32,5.33,IS1006b.A.dialog-act.vkaraisk.8,A,A,0.0,1.16,False,False,0.0,[],False, we need uh to know the the user uh needs,10,elicit,Elicit-Inform
IS1006b,A,58.32,62.66,4.34,IS1006b.A.dialog-act.vkaraisk.9,A,A,0.0,0.0,False,False,0.0,[],False, that we want to fulfil to fulfil the from the technical part,12,task,Inform
IS1006b,A,62.66,66.24,3.58,IS1006b.A.dialog-act.vkaraisk.10,A,A,2.95,0.0,False,False,0.0,[],False, we want to know how it going to work,9,elicit,Elicit-Offer-Or-Suggestion
IS1006b,A,66.24,67.83,1.59,IS1006b.A.dialog-act.vkaraisk.11,,,,,,,,,False, and um,2,minor,Stall
IS1006b,D,69.013,70.511,1.498,IS1006b.D.dialog-act.vkaraisk.3,,,,,,,,,False,,0,minor,Fragment
IS1006b,A,69.19,73.6,4.41,IS1006b.A.dialog-act.vkaraisk.12,A,A,0.0,2.95,False,False,0.0,[],False, third part uh I don't remember,6,task,Inform
IS1006b,D,72.656,73.424,0.768,IS1006b.D.dialog-act.vkaraisk.4,,,,,,,,,False,,0,minor,Fragment
IS1006b,A,73.6,75.5,1.9,IS1006b.A.dialog-act.vkaraisk.13,A,A,6.21,0.0,False,False,0.0,[],False, which is not very good.,5,other,Be-Negative
IS1006b,A,80.74,81.71,0.97,IS1006b.A.dialog-act.vkaraisk.14,,,,,,,,,False," Ah of course,",3,other,Other
IS1006b,A,81.71,85.97,4.26,IS1006b.A.dialog-act.vkaraisk.15,A,A,6.25,6.21,False,False,0.0,[],False, how to to design this uh this,7,elicit,Elicit-Offer-Or-Suggestion
IS1006b,D,85.31,86.736,1.426,IS1006b.D.dialog-act.vkaraisk.5,,,,,,,,,False, Nice stuff,2,elicit,Elicit-Offer-Or-Suggestion
IS1006b,A,85.97,86.2,0.23,IS1006b.A.dialog-act.vkaraisk.16,,,,,,,,,False, yeah.,1,task,Assess
IS1006b,A,88.85,92.22,3.37,IS1006b.A.dialog-act.vkaraisk.17,,,,,,,,,False, So um,2,minor,Stall
