meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
TS3003c,A,21.26,22.8,1.54,TS3003c.A.dialog-act.vkaraisk.1,,,,,,,,,False, Okay. Uh,2,minor,Stall
TS3003c,A,22.8,24.25,1.45,TS3003c.A.dialog-act.vkaraisk.2,,,,,,,,,False, good afternoon.,2,other,Be-Positive
TS3003c,D,24.09,24.64,0.55,TS3003c.D.dialog-act.vkaraisk.1,,,,,,,,,False, Good afternoon.,2,other,Be-Positive
TS3003c,A,24.25,28.37,4.12,TS3003c.A.dialog-act.vkaraisk.3,A,,0.0,,True,False,0.0,[],False, This is our third meeting already.,6,task,Inform
TS3003c,A,28.37,30.93,2.56,TS3003c.A.dialog-act.vkaraisk.4,A,A,12.63,0.0,False,False,0.0,[],False, I hope you enjoyed your lunch.,6,other,Be-Positive
TS3003c,A,30.93,33.46,2.53,TS3003c.A.dialog-act.vkaraisk.5,,,,,,,,,False, I did anyway.,3,task,Assess
TS3003c,A,33.46,36.02,2.56,TS3003c.A.dialog-act.vkaraisk.6,,,,,,,,,False, Um let's see.,3,minor,Stall
TS3003c,A,39.62,43.09,3.47,TS3003c.A.dialog-act.vkaraisk.7,,,,,,,,,False, Presentation three.,2,other,Other
TS3003c,A,43.09,43.56,0.47,TS3003c.A.dialog-act.vkaraisk.8,,,,,,,,,False, Okay,1,minor,Stall
TS3003c,A,43.56,48.44,4.88,TS3003c.A.dialog-act.vkaraisk.9,A,A,0.0,12.63,False,False,0.0,[],False, this is um the second phase uh we're going to discuss today.,12,task,Inform
TS3003c,A,48.44,51.62,3.18,TS3003c.A.dialog-act.vkaraisk.10,A,A,0.0,0.0,False,False,0.0,[],False, It's the conceptual design meeting.,5,task,Inform
TS3003c,A,51.62,66.22,14.6,TS3003c.A.dialog-act.vkaraisk.11,A,A,0.0,0.0,False,False,0.0,[],False, And a few points of interest in this meeting um are the conceptual specification of components. Uh conceptual specification of design. And also trend-watching.,24,task,Inform
TS3003c,A,66.22,73.02,6.8,TS3003c.A.dialog-act.vkaraisk.12,A,A,0.0,0.0,False,False,0.0,[],False, Um these are hopefully the points you addressed in uh your pre uh presentations,14,task,Inform
TS3003c,A,73.02,75.8,2.78,TS3003c.A.dialog-act.vkaraisk.13,A,A,1.28,0.0,False,False,0.0,[],False, you're going to show me in a few minutes.,9,task,Suggest
TS3003c,A,77.08,82.15,5.07,TS3003c.A.dialog-act.vkaraisk.14,A,A,0.0,1.28,False,False,0.0,[],False, Um but first I'll show you the agenda.,8,other,Offer
TS3003c,A,82.15,84.04,1.89,TS3003c.A.dialog-act.vkaraisk.15,A,A,0.0,0.0,False,False,0.0,[],False, Uh first the opening.,4,task,Inform
TS3003c,A,84.04,86.21,2.17,TS3003c.A.dialog-act.vkaraisk.16,A,A,0.0,0.0,False,False,0.0,[],False, Then we have three presentations.,5,task,Inform
TS3003c,A,86.21,91.42,5.21,TS3003c.A.dialog-act.vkaraisk.17,A,A,0.0,0.0,False,False,0.0,[],False, Uh after that we have to come to a decision on remote control concepts.,14,task,Inform
TS3003c,A,91.42,93.83,2.41,TS3003c.A.dialog-act.vkaraisk.18,A,A,0.0,0.0,False,False,0.0,[],False, How we're going to make it.,6,task,Inform
TS3003c,A,93.83,96.0,2.17,TS3003c.A.dialog-act.vkaraisk.19,A,A,0.0,0.0,False,False,0.0,[],False, And then we're closing.,4,task,Inform
TS3003c,A,96.0,98.0,2.0,TS3003c.A.dialog-act.vkaraisk.20,A,A,1.11,0.0,False,False,0.0,[],False, We have about forty minutes.,5,task,Inform
TS3003c,A,99.11,102.21,3.1,TS3003c.A.dialog-act.vkaraisk.21,A,A,0.0,1.11,False,False,0.0,[],False, Uh so I suggest let's get started.,7,task,Suggest
TS3003c,A,102.21,107.47,5.26,TS3003c.A.dialog-act.vkaraisk.22,A,A,7.33,0.0,False,False,0.0,[],False, Uh did someone encounter any problems during the preparation?,9,elicit,Elicit-Inform
TS3003c,A,109.64,110.51,0.87,TS3003c.A.dialog-act.vkaraisk.23,,,,,,,,,False, No?,1,elicit,Elicit-Inform
TS3003c,B,109.75,109.97,0.22,TS3003c.B.dialog-act.vkaraisk.1,,,,,,,,,False, No.,1,task,Inform
TS3003c,D,110.409,111.151,0.742,TS3003c.D.dialog-act.vkaraisk.2,,,,,,,,,False,,0,minor,Fragment
TS3003c,A,110.51,111.82,1.31,TS3003c.A.dialog-act.vkaraisk.24,,,,,,,,,False, Everything fine?,2,elicit,Elicit-Assessment
TS3003c,A,111.82,112.56,0.74,TS3003c.A.dialog-act.vkaraisk.25,,,,,,,,,False, That's nice.,2,task,Assess
TS3003c,A,114.8,121.77,6.97,TS3003c.A.dialog-act.vkaraisk.26,A,A,0.0,7.33,False,False,0.0,[],False, Then a little uh thing about the last meeting.,9,other,Offer
TS3003c,A,121.77,127.58,5.81,TS3003c.A.dialog-act.vkaraisk.27,A,A,0.0,0.0,False,False,0.0,[],False, Uh these are the points um we agreed on. The requirements and the target market.,15,task,Inform
TS3003c,A,127.58,137.69,10.11,TS3003c.A.dialog-act.vkaraisk.28,A,A,0.0,0.0,False,False,0.0,[],False," Uh requirements are uh teletext, docking station, audio signal, small screen, with some extras that uh button information.",18,task,Inform
TS3003c,A,137.69,139.87,2.18,TS3003c.A.dialog-act.vkaraisk.29,A,A,1.5,0.0,False,False,0.0,[],False, And we are going to use default materials.,8,task,Inform
TS3003c,A,141.37,147.91,6.54,TS3003c.A.dialog-act.vkaraisk.30,A,A,0.61,1.5,False,False,0.0,[],False, Um does somebody have any comments on these requirements? Maybe?,10,elicit,Elicit-Assessment
TS3003c,A,147.91,148.52,0.61,TS3003c.A.dialog-act.vkaraisk.31,,,,,,,,,False, No?,1,elicit,Elicit-Assessment
TS3003c,A,148.52,150.68,2.16,TS3003c.A.dialog-act.vkaraisk.32,A,A,0.0,0.61,False,False,0.0,[],False," These are just the the things we thought of,",9,task,Inform
TS3003c,A,150.68,156.11,5.43,TS3003c.A.dialog-act.vkaraisk.33,A,A,0.0,0.0,False,False,0.0,[],False," so maybe if you figured something else or thought of something else, just let me know.",16,task,Suggest
TS3003c,A,156.11,157.55,1.44,TS3003c.A.dialog-act.vkaraisk.34,A,A,0.89,0.0,False,False,0.0,[],False, And maybe we can uh work it out.,8,other,Unlabelled
TS3003c,A,158.44,163.34,4.9,TS3003c.A.dialog-act.vkaraisk.35,A,A,2.14,0.89,False,False,0.0,[],False, And we're going to target uh sixty to to eighty year old customers.,13,task,Inform
TS3003c,A,165.11,165.48,0.37,TS3003c.A.dialog-act.vkaraisk.36,,,,,,,,,False, So,1,minor,Stall
TS3003c,A,165.48,169.15,3.67,TS3003c.A.dialog-act.vkaraisk.37,A,A,0.0,2.14,False,False,0.0,[],False," now everybody knows what we're do we're doing,",8,task,Inform
TS3003c,A,169.15,174.02,4.87,TS3003c.A.dialog-act.vkaraisk.38,A,A,1.99,0.0,False,False,0.0,[],False, um I suggest let's get started with the presentations.,9,task,Suggest
TS3003c,A,175.32,176.01,0.69,TS3003c.A.dialog-act.vkaraisk.39,,,,,,,,,False, So,1,minor,Stall
TS3003c,A,176.01,180.12,4.11,TS3003c.A.dialog-act.vkaraisk.40,D,A,1.79,1.99,False,False,0.0,[],False, shall we keep the same uh line-up as uh last time?,11,elicit,Elicit-Assessment
TS3003c,D,180.27,181.91,1.64,TS3003c.D.dialog-act.vkaraisk.3,,,,,,,,,False, Sure.,1,task,Assess
TS3003c,A,180.89,181.24,0.35,TS3003c.A.dialog-act.vkaraisk.41,,,,,,,,,False, Okay.,1,task,Assess
TS3003c,D,181.91,183.0,1.09,TS3003c.D.dialog-act.vkaraisk.4,D,A,21.14,1.79,True,False,0.0,[],True, I'll start off then.,4,other,Offer
TS3003c,A,182.67,184.768,2.098,TS3003c.A.dialog-act.vkaraisk.42,,,,,,,,,False, Good luck.,2,other,Be-Positive
TS3003c,D,192.77,193.34,0.57,TS3003c.D.dialog-act.vkaraisk.5,,,,,,,,,False, Doh.,1,other,Other
TS3003c,D,203.97,204.14,0.17,TS3003c.D.dialog-act.vkaraisk.6,,,,,,,,,False, 'Kay,1,minor,Stall
TS3003c,D,204.14,209.95,5.81,TS3003c.D.dialog-act.vkaraisk.7,D,D,0.0,21.14,False,False,0.0,[],False, I'm uh gonna inform you about the trend-watching I've done over the past few days.,15,other,Offer
