meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
TS3007b,A,2.16,2.43,0.27,TS3007b.A.dialog-act.vkaraisk.1,,,,,,,,,False, Hello.,1,other,Be-Positive
TS3007b,D,3.59,4.31,0.72,TS3007b.D.dialog-act.vkaraisk.1,,,,,,,,,False, Hey guys.,2,other,Be-Positive
TS3007b,C,4.52,6.64,2.12,TS3007b.C.dialog-act.vkaraisk.1,,,,,,,,,False, Hi.,1,other,Be-Positive
TS3007b,B,4.94,5.5,0.56,TS3007b.B.dialog-act.vkaraisk.1,,,,,,,,,False, Hi.,1,other,Be-Positive
TS3007b,A,5.44,5.91,0.47,TS3007b.A.dialog-act.vkaraisk.2,,,,,,,,,False, Hi.,1,other,Be-Positive
TS3007b,C,6.64,8.94,2.3,TS3007b.C.dialog-act.vkaraisk.2,C,,0.0,,True,False,0.0,[],False, I see my bunny is still standing.,7,task,Inform
TS3007b,A,8.34,8.73,0.39,TS3007b.A.dialog-act.vkaraisk.3,,,,,,,,,False, Yeah.,1,task,Assess
TS3007b,C,8.94,10.68,1.74,TS3007b.C.dialog-act.vkaraisk.3,C,C,0.0,0.0,False,False,0.0,[],False, No one drawing it.,4,task,Inform
TS3007b,A,9.45,10.73,1.28,TS3007b.A.dialog-act.vkaraisk.4,,,,,,,,,False, It's too beautiful.,3,other,Be-Positive
TS3007b,B,10.16,11.11,0.95,TS3007b.B.dialog-act.vkaraisk.2,,,,,,,,,False," Yeah, true.",2,task,Assess
TS3007b,C,10.68,14.624,3.944,TS3007b.C.dialog-act.vkaraisk.4,A,C,8.606,0.0,False,False,0.0,[],False, Uh I figured uh that much.,6,task,Assess
TS3007b,A,13.586,14.705,1.119,TS3007b.A.dialog-act.vkaraisk.5,,,,,,,,,False,,0,minor,Fragment
TS3007b,D,13.83,14.43,0.6,TS3007b.D.dialog-act.vkaraisk.2,,,,,,,,,False, Too wicked.,2,other,Be-Positive
TS3007b,B,15.89,16.21,0.32,TS3007b.B.dialog-act.vkaraisk.3,,,,,,,,,False, Mm.,1,other,Other
TS3007b,D,18.688,22.682,3.994,TS3007b.D.dialog-act.vkaraisk.3,,,,,,,,,False,,0,minor,Fragment
TS3007b,A,22.67,23.23,0.56,TS3007b.A.dialog-act.vkaraisk.6,,,,,,,,,False," A minute please,",3,task,Suggest
TS3007b,A,23.23,24.89,1.66,TS3007b.A.dialog-act.vkaraisk.7,A,C,20.19,8.606,True,False,0.0,[],True, my uh laptop is uh,5,task,Inform
TS3007b,A,24.89,25.34,0.45,TS3007b.A.dialog-act.vkaraisk.8,,,,,,,,,False," oh,",1,minor,Stall
TS3007b,A,25.34,25.92,0.58,TS3007b.A.dialog-act.vkaraisk.9,,,,,,,,,False," there it is,",3,task,Assess
TS3007b,A,25.92,26.32,0.4,TS3007b.A.dialog-act.vkaraisk.10,,,,,,,,,False, thank you.,2,other,Be-Positive
TS3007b,A,44.88,45.08,0.2,TS3007b.A.dialog-act.vkaraisk.11,,,,,,,,,False, So,1,minor,Stall
TS3007b,A,45.08,50.05,4.97,TS3007b.A.dialog-act.vkaraisk.12,A,A,1.33,20.19,False,False,0.0,[],False, welcome back. At the functional design meeting um,8,other,Be-Positive
TS3007b,A,51.38,63.24,11.86,TS3007b.A.dialog-act.vkaraisk.13,A,A,0.0,1.33,False,False,0.0,[],False," the plan is uh that uh each one of you, so not me but only you uh will uh present uh the the things you worked on uh the last uh half hour.",33,task,Inform
TS3007b,A,63.24,64.65,1.41,TS3007b.A.dialog-act.vkaraisk.14,A,A,0.0,0.0,False,False,0.0,[],False, I will uh take minutes,5,task,Inform
TS3007b,A,64.65,71.54,6.89,TS3007b.A.dialog-act.vkaraisk.15,A,A,0.0,0.0,False,False,0.0,[],False, and will put uh the minutes that I have uh at the end of the session in the shared folder.,20,task,Inform
TS3007b,A,71.54,77.55,6.01,TS3007b.A.dialog-act.vkaraisk.16,A,A,0.0,0.0,False,False,0.0,[],False," Also the minutes of the previous session are also in the shared folder now,",14,task,Inform
TS3007b,A,77.55,81.25,3.7,TS3007b.A.dialog-act.vkaraisk.17,A,A,1.614,0.0,False,False,0.0,[],False, so you can read that uh now or afterwards. Um,10,task,Inform
TS3007b,A,82.864,87.03,4.166,TS3007b.A.dialog-act.vkaraisk.18,A,A,0.0,1.614,False,False,0.0,[],False, uh I had an email from the from the management board,11,task,Inform
TS3007b,D,85.552,85.808,0.256,TS3007b.D.dialog-act.vkaraisk.4,,,,,,,,,False,,0,minor,Fragment
