meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
TS3008d,A,75.56,79.01,3.45,TS3008d.A.dialog-act.dharshi.1,A,,4.68,,True,False,0.0,[],False," Okay, welcome to the detailed design meeting.",7,task,Inform
TS3008d,A,83.69,86.92,3.23,TS3008d.A.dialog-act.dharshi.2,A,A,0.0,4.68,False,False,0.0,[],False," Again, I'm gonna take minutes.",5,other,Offer
TS3008d,A,86.92,90.76,3.84,TS3008d.A.dialog-act.dharshi.3,A,A,0.0,0.0,False,False,0.0,[],False," Oh, we're gonna have a prototype presentation first.",8,task,Inform
TS3008d,B,88.278,88.662,0.384,TS3008d.B.dialog-act.dharshi.1,,,,,,,,,False,,0,minor,Fragment
TS3008d,A,90.76,93.96,3.2,TS3008d.A.dialog-act.dharshi.4,C,A,31.12,0.0,False,False,0.0,[],False," Uh, who's gonna give the prototype presentation?",7,elicit,Elicit-Inform
TS3008d,A,93.96,94.77,0.81,TS3008d.A.dialog-act.dharshi.5,,,,,,,,,False, You two guys?,3,elicit,Elicit-Inform
TS3008d,C,94.74,94.93,0.19,TS3008d.C.dialog-act.dharshi.1,,,,,,,,,False, Yes.,1,task,Inform
TS3008d,A,94.77,96.58,1.81,TS3008d.A.dialog-act.dharshi.6,,,,,,,,,False, Okay. Go ahead.,3,task,Suggest
TS3008d,C,96.91,101.831,4.921,TS3008d.C.dialog-act.dharshi.2,,,,,,,,,False,,0,minor,Fragment
TS3008d,D,97.558,97.83,0.272,TS3008d.D.dialog-act.dharshi.1,,,,,,,,,False,,0,minor,Fragment
TS3008d,B,97.814,100.926,3.112,TS3008d.B.dialog-act.dharshi.2,,,,,,,,,False,.,0,minor,Fragment
TS3008d,D,99.65,100.799,1.149,TS3008d.D.dialog-act.dharshi.2,,,,,,,,,False,.,0,minor,Fragment
TS3008d,B,102.406,103.23,0.824,TS3008d.B.dialog-act.dharshi.3,,,,,,,,,False, coffee.,1,minor,Fragment
TS3008d,D,103.664,104.261,0.597,TS3008d.D.dialog-act.dharshi.3,,,,,,,,,False,,0,minor,Fragment
TS3008d,C,125.08,127.48,2.4,TS3008d.C.dialog-act.dharshi.3,C,A,1.54,31.12,True,False,0.0,[],True," 'Kay, we've made a prototype.",5,task,Inform
TS3008d,C,127.48,129.02,1.54,TS3008d.C.dialog-act.dharshi.10,,,,,,,,,False," Um,",1,minor,Stall
TS3008d,C,129.02,134.88,5.86,TS3008d.C.dialog-act.dharshi.4,C,C,0.3,1.54,False,False,0.0,[],False, we've got uh uh our aspects from the last meeting.,10,task,Inform
TS3008d,C,134.88,135.18,0.3,TS3008d.C.dialog-act.dharshi.11,,,,,,,,,False," Uh,",1,minor,Stall
