meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
TS3009a,D,4.03,5.276,1.246,TS3009a.D.dialog-act.s9553330.1,,,,,,,,,False,,0,minor,Fragment
TS3009a,A,5.015,13.668,8.653,TS3009a.A.dialog-act.s9553330.1,,,,,,,,,False,,0,minor,Fragment
TS3009a,D,8.62,8.99,0.37,TS3009a.D.dialog-act.s9553330.2,,,,,,,,,False, I dunno.,2,minor,Fragment
TS3009a,D,11.36,14.36,3.0,TS3009a.D.dialog-act.s9553330.3,A,,46.16,,True,False,0.0,[],False, Throwing away my toothpick.,4,other,Other
TS3009a,B,17.49,18.16,0.67,TS3009a.B.dialog-act.s9553330.1,,,,,,,,,False, Hi there.,2,other,Be-Positive
TS3009a,A,22.91,23.49,0.58,TS3009a.A.dialog-act.s9553330.2,,,,,,,,,False, Yo.,1,other,Be-Positive
TS3009a,A,26.87,27.32,0.45,TS3009a.A.dialog-act.s9553330.3,,,,,,,,,False, Ow.,1,other,Other
TS3009a,C,35.199,35.528,0.329,TS3009a.C.dialog-act.s9553330.1,,,,,,,,,False,,0,minor,Fragment
TS3009a,A,39.8,47.773,7.973,TS3009a.A.dialog-act.s9553330.4,,,,,,,,,False,,0,minor,Fragment
TS3009a,D,42.58,42.91,0.33,TS3009a.D.dialog-act.s9553330.4,,,,,,,,,False, 'Kay.,1,minor,Backchannel
TS3009a,A,48.71,49.908,1.198,TS3009a.A.dialog-act.s9553330.5,,,,,,,,,False, Uh,1,minor,Fragment
TS3009a,D,50.95,52.18,1.23,TS3009a.D.dialog-act.s9553330.5,,,,,,,,,False, Nice user interface.,3,task,Assess
TS3009a,A,52.49,52.82,0.33,TS3009a.A.dialog-act.s9553330.6,,,,,,,,,False, Yeah.,1,task,Assess
TS3009a,A,53.94,54.651,0.711,TS3009a.A.dialog-act.s9553330.7,,,,,,,,,False, What the,2,minor,Fragment
