word,region,OED,label
Caribbean,"US , Mary – marry – merry merger",keri·-BEEUHN,Different
MILF,General Australian,milf,Same
Rutherford,US,RUDHURFURD,Same
Mac,Southern England,mak,Same
Kathmandu,Southern England,katman·-DOO,Different
Hermes,US,HURMEEZ,Bad
Luxembourg,US,LUK-suhm-burg,Same
Beloit,US,buh-LOYT,Same
Inupiak,US,i-NOO-pee-ak,Same
Hegewisch,Chicago,HEG-wish·,Different
Turin,Southern England,tuh-RIN,Different
Yamato,Southern England,YAHMUHTOH,Different
Rom,US,rohm,Bad
ScoMo,General Australian,SKUHɄ-muhʉ,Same
Hanwell,UK,hanwel,Different
Zimbabwe,US,zim-BAHBWAY,Same
Rosa,US,ROHZUH,Bad
Sucre,Southern England,SOOKRAY,Same
Papua New Guinea,US,PAP-oo-uh-noo·-GIN-ee,Bad
Gwen,Southern England,-en,Same
Ladino,US,luh-DEENOH,Bad
Malaya,Southern England,muh-LAY-uh,Same
ladino,Southern England,luh-DEENUHUU,Same
Austrian,Southern England,OS-tree-uhn,Same
Chorasmian,US,kuh-RAZ-mee-uhn,Same
Ypres,Southern England,EEPRUH,Same
Worcester,US,WUUSTUR,Same
Howth,Southern England,hohth,Same
Bolly,General Australian,-olee,Same
Ripuarian,US,rip·-yoo-ER-ee-uhn,Bad
Marne,Southern England,mahrn,Different
Wandsworth,UK,wawnzwuhth,Same
Richard,UK,RICH-uhd,Different
Tolworth,UK,tolwurth,Same
Saul,Southern England,sawl,Same
Makemake,US,MAH-kay-MAHKAY,Different
Palencia,Southern England,puh-LENSEEUH,Different
Worcester,UK,WUUSTUH,Different
Burkina Faso,UK,buh-keenuh·-FASUHUU,Different
Kabul,Southern England,KAHBUHL,Same
Angolan,Southern England,ang-GOHLUHN,Different
Capricornus,US,kapri·-KAWRNUHS,Same
Vigo,Southern England,VEEGUHUU,Bad
Ron,Southern England,-on,Same
St Pancras,Received Pronunciation,suhnt-PANGKRUHS,Different
Belgium,UK,BELJUHM,Same
Hornsey,UK,hawnzee,Different
Sanskrit,Southern England,SANSKRIT,Same
Gujarati,US,guuoodzhuh·-ɻʷAHREE,Same
Bechdel,Southern England,BEKDUHL,Same
Stanmore,UK,stanmaw,Same
Norse,UK,naws,Different
Israhell,General Australian,IZRUHHEL,Bad
Eastwood,General Australian,eestwuud,Same
Kunming,US,kuun-MING,Different
Tory,Southern England,TAW-ree,Same
Walz,US,wawlz,Different
Okinawa,US,ohkee·-NAHWUH,Different
Keighley,UK,KEETHLEE,Different
Baffin,Southern England,BAFIN,Same
HBO,US,aych·-bee·-OH,Same
Norse,US,nohrs,Same
Reading,Southern England,REDING,Different
Goucher,US,GOWCHUH,Different
Maecenas,Southern England,mui-SEENUHS,Different
Muslim,UK,MUUZ-lim,Different
Xitler,US,SHITLUR,Different
Woonsocket,US,wuun-SOKIT,Different
Peter,US,PEETUR,Same
Jehovist,Southern England,juh-HOHVIST,Same
Hanworth,UK,hanwurth,Same
Anglosphere,Southern England,ANG-gluh-sfir·,Bad
Saint,Received Pronunciation,suhnt,Different
Vaduz,Southern England,-oots,Bad
Pauline,Southern England,PAW-leen·,Same
Verity,Southern England,VERITEE,Same
Alcester,UK,OLSTUR,Different
Gad,US,gad,Same
Wiltshire,UK,WILT-shuh,Different
Knightsbridge,UK,NIGHTS-brij,Same
Gateacre,UK,GATUHKUH,Different
Atlantic,Southern England,uht-LAN-tik,Same
Edlyn,Southern England,EDLIN,Same
Esher,UK,eeshuh,Different
Jharkhand,US,JAHKUHND,Different
Bazza,General Australian,BAZUH,Different
Indian,US,IN-dee-uhn,Same
Ammonite,US,EUHMINUIT,Same
Ulan Bator,Southern England,OOLAHN-BAHTAW,Different
Hurrian,"US , hurry – furry merger",HUR-ee-uhn,Same
EFTA,US,ef-tah,Same
Richard,UK,RICH-uhd,Different
Gramarye,Southern England,GRAMUHREE,Same
Pepsi,US,PEPSEE,Same
Colney Hatch,Received Pronunciation,KUHUUNEE-HACH,Different
Bayswater,UK,bayzwawtuh,Bad
Rennes,Southern England,ren,Same
Tripura,Mid-Atlantic US,TRIPOORAH,Different
Shetland,Southern England,SHETLUHND,Same
Gambia,UK,GAM-bee-uh,Bad
Bahamas,US,buh-HAH-muhz,Same
Julies,Southern England,juu-LIGHZ,Different
Southwark,UK,SUDHUHK,Same
Jess,Southern England,jes,Same
Orkney,Southern England,AWKNEE,Different
R,UK,ah,Different
Khartoum,Southern England,kah-TOOM,Different
Nicaragua,UK,nik·-uhr-AG-yoo-uh,Different
Anick,Southern England,AYNIK,Different
Beirut,Southern England,bay-ROOT,Same
Alicia,US,uh-LEESHUH,Same
Nantes,Southern England,nahnts,Same
Acoma,Southern England,A-kuh-muh,Same
Bolton,UK,boltuhn,Same
Herm,Southern England,-urm,Bad
Hitler,US,HITLUR,Bad
Fritz,Southern England,frits,Same
Miguel,Southern England,mee-GEL,Same
Seppo,General Australian,-epuhuu,Same
Harefield,Received Pronunciation,hefeeld,Bad
Sopwith,US,SOPWITH,Same
Richard,UK,RICH-uhd,Different
Sinn Féin,Southern England,shin-FAYN,Same
Niue,Southern England,NYOOAY,Different
Caribbean,"US , without the Mary – marry – merry merger",kari·-BEEUHN,Different
Christkindl,Southern England,KRIST-kinduhl·,Same
Pondicherry,US,PONDICHEREE,Same
Amis,US,uh-MEE,Different
Camberwell,UK,kambuhwel,Different
Okinawan,US,ohkee·-NAHWUHN,Same
Richard,UK,RICH-uhd,Different
Everest,Southern England,EEVRIST,Different
Biggin Hill,UK,bigin-hil,Same
Eritrea,UK,-ayuh,Bad
Honduras,UK,hon-DYUUUH-ruhs,Same
Boötes,Southern England,boh-OHTEEZ,Different
Tammi,Southern England,TAMEE,Same
Gatorade,Southern England,GAYTUHRAYD,Same
Taurus,US,TAWRUHS,Same
Åland,US,AHLUHND,Different
Seine,US,sen,Different
Philippa,Southern England,FI-li-puh,Same
Python,Ireland,PAEETAWN,Different
Munster,Southern England,MUNSTUHR,Same
Cologne,Southern England,kuh-LOHN,Same
Waddon,Received Pronunciation,WODUHN,Same
Gillian,Southern England,-ilyuhn,Bad
Volkswagen,US,VOHKS-waguhn·,Same
Twelfthtide,Southern England,TWELFTHTIGHD,Same
Hamburg,US,HAMBURG,Same
Twickenham,UK,twikuhnuhm,Same
Kentish,UK,KEN-tish,Same
Loserville,US,LOO-zur-vil,Same
Burkina Faso,US,buhr-KEENUH-FAHSOH,Same
Britney,General Australian,BRITNEE,Same
Brunei,US,broo-NIGH,Different
OS,US,oh·-ES,Same
Ucalegon,US,yoo-KALƗGON,Different
Montevideo,Southern England,montivi·-DAYUHUU,Same
Naphtali,US,NAF-tuh-ligh·,Same
BOM,US,bahm,Same
Jacqueline,Southern England,JAKUHLIN,Different
Billerica,US,bil-RIKUH,Different
Ys,Southern England,-ees,Bad
Tunis,Southern England,TYOONIS,Same
Lesotho,Southern England,luh-SOOTOO,Same
Kerala,US,KE-ruh-luh,Same
Luo,Southern England,LOO-uhuu,Same
Uyghur,US,WEEGUR,Bad
Osterley,UK,OSTUHLEE,Different
Luzon,Canada,LOO-zawn·,Same
Aragonese,Southern England,aruhgo·-NEEZ,Different
Egypt,UK,EE-jipt,Same
Devanagari,US,dayvuh·-NAHGUHREE,Different
Connecticunt,General Australian,ki-NAYK-ti-kɐnt,Different
Telugu,US,TE-luu-goo,Same
Emmaus,Southern England,i-MAY-uhs,Same
Frederick,Southern England,FRED(UH)RIK,Different
Pompeii,US,pahm-PAY(EE),Same
Rodger,Southern England,ROJUH,Same
Manx,Southern England,mangks,Same
Bromley,Southern England,BROMLEE,Same
Nez Perce,US,nez·-PURRS,Different
Caiaphas,Mid-Atlantic US,KIGH-uh-fuhs,Bad
Jyothis,Hindi style,JOHTIS,Different
Yahweh,Southern England,YAH(H)WAY,Same
Bedford,Southern England,BEDFUHD,Different
Chislehurst,UK,chizuhlhurst,Same
Arpitan,US,AHR-pi-tuhn,Different
Zimbabwe,Southern England,zim-BAHBWAY,Same
Tammy,Southern England,TAMEE,Bad
Montana,US,mahn-TANUH,Same
Benny,Southern England,-enee,Bad
Dampier,Southern England,DAMPEEUH,Same
Peugeot,US,PYOOZHOH,Different
Gibson,Southern England,GIBSUHN,Same
Ruislip,UK,RIGHS-lip,Same
Anthropocene,Southern England,AN-thruh-puh-seen·,Same
Theron,Southern England,THEUHRUHN,Same
San Diego,Southern England,san·-dee-AYGOH,Same
Isleworth,UK,uizuhlwurth,Different
Eltham,UK,ELTUHM,Different
Piauí,US,peeow-EE,Same
Persephone,US,pur-SEFUHNEE,Same
Bismarck,Southern England,BIZMAHRK,Same
Antiguan,US,an-TEEGUHN,Same
Barnsley,US,BAHNSLEE,Same
Los Angeles,Canada,lahs-ANJUHLUHS,Same
Hednesford,UK,HENZFUHD,Different
McClusky,Southern England,muh-KLUSKEE,Same
North Dakota,US,NAWRTH-duh-KOH-tuh,Different
Imphal,US,IMPAHL,Different
Staffordshire,Southern England,STAF-uhd-shuh,Different
Carmel,UK,KAHR-muhl,Same
Ammon,US,EUHMIN,Same
WWW,US,DUB-DUB-DUB,Different
Asmara,Southern England,as-MAHRUH,Same
piton,Southern England,PEE-ton·,Different
Stancel,Southern England,STAN-suhl,Same
SOAP,US,sohp,Same
Magdalen,Southern England,MAGDUHLIN,Same
Katie,Southern England,KAYTEE,Same
Barb,General Australian,-ahb,Bad
Cable Street,US,-eet,Bad
Orlando,US,awr-LAN-doh,Same
Ascot,Southern England,ASKUHT,Different
Gandalf,Southern England,GANDAHLF,Same
Ceará,US,say-uh-RAH,Different
Streatham,UK,stretuhm,Different
Monroe,Southern England,muhn-ROH,Bad
Kadesh,US,KAY-desh·,Different
Finsbury,UK,finzb(uh)ree,Same
Mo,Southern England,MUHUU,Same
Castries,US,KASTREEZ,Bad
Magdalen,Southern England,MAWDLIN,Different
CCCP,US,see-see-see-pee,Different
Buckinghamshire,US,BUK-ing-uhm-shuh,Same
Zagreb,Southern England,ZAHGREB,Different
Barry,Southern England,BAR-i,Same
Thessalonica,Canada,thesuhluh·-NIGHKUH,Different
Chumash,Southern England,-ash,Bad
Canonbury,UK,kanuhnb(uh)ree,Same
Central America,Southern England,sentruhl·-uh-MERIKUH,Same
Jones,US,johnz,Same
Carolina,Southern England,kar·-uh-LIGH-nuh,Same
Eleanor,Southern England,ELUHNUR,Different
Pembroke,Southern England,PEMBRUUK,Same
Enumclaw,US,EE-num-klaw·,Same
Barbudan,US,bahr-BYOODUHN,Different
Dunkirk,Southern England,DUNGKURK,Same
Podgorica,Southern England,PODGUHRITSA,Same
Comoros,UK,KOM-uh-rohz,Same
Hobart,General Australian,HUHUUBAHT,Same
Peckham,UK,pekuhm,Same
dem,Southern England,dem,Different
Kinktober,US,kink-TOH-buhr,Same
Clerkenwell,UK,klahkuhnwel,Different
Faroe Islands,Canada,FEUHRUHUU-ighluhndz·,Same
Liskeard,UK,lis-KAHRD,Different
Joyce,Southern England,-oys,Bad
Epicurus,Mid-Atlantic US,epi·-KYUURUHS,Same
Aquila,Southern England,AKWILUH,Same
Hohokam,US,hoh·-hoh-KAHM,Same
Locke,US,lahk,Same
Chukotan,Southern England,choo-KOTUHN,Different
Bahamas,UK,buh-HAH-muhz,Same
Coulter,US,KOHLTUR,Same
Shropshire,Southern England,SHROP-shuh,Different
POSIX,US,POZ-iks,Bad
Demi,Southern England,duh-MEE,Different
Samuel,Southern England,SAMYOOUHL,Bad
