word,region,OED,label
drunchies,Southern England,DRUNCHEEZ,Same
abirritant,US,ab-IR-i-tnt,Same
cur,Southern England,kur,Same
phosphatide,US,FOSFUHTIGHD,Same
geographer,Brisbane,jee-AWG-ruh-fuh,Different
domme,General Australian,dawm,Same
frith,Southern England,frith,Same
forefathers,US,FAWR-fahdhurz·,Bad
laborer,Southern England,LAY-bur-rur,Same
resemblance,Southern England,ruh-ZEMBLUHNS,Same
stalk,US,stawk,Same
console,US,KAHN-sohl,Same
purse,US,purrs,Same
vole,Southern England,vuhuul,Same
meningitis,Southern England,menin·-JIGHTIS,Same
leatherneck,General Australian,LEDH-uh-nek,Different
cygnet,US,SIG-nit,Same
pepo,UK,PEE-puhuu,Different
exbibyte,Southern England,EKS-bi-bight·,Same
heiress,Southern England,euh-RES,Different
flop,General Australian,flawp,Same
protective,Southern England,pruh-TEK-tiv,Same
forenoon,US,FAWRNOON,Same
powders,US,POW-durz,Same
ginger minger,General Australian,JINJUH-MINJUH,Different
vicuna,Southern England,vi-KOONYUH,Different
tsukaminage,Southern England,(t)sookuhmi·-NAHGAY,Same
embonpoint,Southern England,ahbawpwe,Different
bacillus,US,ba-SIL-uhs,Different
astrognosy,Southern England,uhs-TROGNUHSEE,Same
acquis,Southern England,a-KEE,Different
toluene,US,TAHL-yoo-een,Same
fuckhead,Southern England,FUK-hed·,Bad
polycule,US,PAH-lee-kyool,Same
coldness,US,KOHLDNUHS,Same
Americunt,General Australian,uh-MER-i-kunt·,Bad
exploit,US,iks-PLOYT,Same
qoph,US,khahf,Different
sidewalk,US,SIGHDWAWK,Same
lager,US,LAHGUR,Same
sybarite,US,SIBUH-right·,Same
bere,Southern England,biuh,Different
poppy,US,PAHPEE,Same
hopper,General Australian,HAWP-uh,Different
transverse,Southern England,-urs,Bad
misle,Southern England,MIZUHL,Different
conserve,Southern England,KONSURV,Same
transverse,Southern England,-urs,Bad
ne,Southern England,nuh,Different
zobo,Southern England,ZOH-boh,Same
fodder,US,FAHDUR,Same
buttons,General Australian,BUTNZ,Bad
quorate,Southern England,KWAWR-uht,Different
clithrophobia,US,klithruh-FOHBEEUH,Different
solitaire,Southern England,SOL-i-teuh·,Different
metal,US,MERL,Same
achieving,US,uh-CHEEVING,Same
accouri,US,uh-KOOREE,Different
